s1,s2,s3,s4,s5,N_Observations,P(-1),P(0),P(+1),Direction,Classification_Error,Gini,Cross_Entropy,Confidence
0,0,-1,0,0,54,0.2777777777777778,0.3888888888888889,0.3333333333333333,0.055555555555555525,0.6111111111111112,0.6604938271604939,1.0893096789558299,0.3888888888888889
1,0,-1,0,0,32,0.3125,0.375,0.3125,0.0,0.625,0.6640625,1.094780226007948,0.375
-1,1,-1,0,0,29,0.4482758620689655,0.27586206896551724,0.27586206896551724,-0.1724137931034483,0.5517241379310345,0.6468489892984541,1.0702128536458757,0.4482758620689655
0,1,-1,0,0,33,0.30303030303030304,0.45454545454545453,0.24242424242424243,-0.06060606060606061,0.5454545454545454,0.642791551882461,1.0637155529842897,0.45454545454545453
1,1,-1,0,0,17,0.11764705882352941,0.5882352941176471,0.29411764705882354,0.17647058823529413,0.4117647058823529,0.5536332179930795,0.923840705630872,0.5882352941176471
-1,-1,0,0,0,37,0.2972972972972973,0.43243243243243246,0.2702702702702703,-0.02702702702702703,0.5675675675675675,0.6515704894083272,1.076752548142629,0.43243243243243246
0,-1,0,0,0,45,0.37777777777777777,0.26666666666666666,0.35555555555555557,-0.0222222222222222,0.6222222222222222,0.659753086419753,1.0878863519425825,0.37777777777777777
1,-1,0,0,0,33,0.3333333333333333,0.3939393939393939,0.2727272727272727,-0.06060606060606061,0.6060606060606061,0.6593204775022957,1.0875314752904792,0.3939393939393939
-1,0,0,0,0,41,0.3170731707317073,0.4878048780487805,0.1951219512195122,-0.12195121951219512,0.5121951219512195,0.6234384295062463,1.0332179337404424,0.4878048780487805
0,0,0,0,0,71,0.323943661971831,0.39436619718309857,0.28169014084507044,-0.04225352112676056,0.6056338028169015,0.660186470938306,1.0889793316560201,0.39436619718309857
1,0,0,0,0,51,0.35294117647058826,0.45098039215686275,0.19607843137254902,-0.15686274509803924,0.5490196078431373,0.63360246059208,1.046160739813701,0.45098039215686275
-1,1,0,0,0,45,0.26666666666666666,0.4222222222222222,0.3111111111111111,0.04444444444444445,0.5777777777777777,0.6538271604938272,1.079773089409609,0.4222222222222222
0,1,0,0,0,45,0.28888888888888886,0.4444444444444444,0.26666666666666666,-0.0222222222222222,0.5555555555555556,0.6479012345679013,1.0715987805361908,0.4444444444444444
1,1,0,0,0,34,0.4117647058823529,0.35294117647058826,0.23529411764705882,-0.1764705882352941,0.5882352941176471,0.6505190311418685,1.073383620336505,0.4117647058823529
-1,-1,1,0,0,32,0.125,0.5,0.375,0.25,0.5,0.59375,0.9743147528693494,0.5
0,-1,1,0,0,40,0.375,0.45,0.175,-0.2,0.55,0.62625,1.0321590615626537,0.45
1,-1,1,0,0,28,0.21428571428571427,0.39285714285714285,0.39285714285714285,0.17857142857142858,0.6071428571428572,0.6454081632653061,1.064195480999044,0.39285714285714285
-1,0,1,0,0,29,0.27586206896551724,0.41379310344827586,0.3103448275862069,0.03448275862068967,0.5862068965517242,0.6563614744351962,1.0835222669892097,0.41379310344827586
0,0,1,0,0,48,0.1875,0.5,0.3125,0.125,0.5,0.6171875,1.0239287996389363,0.5
1,0,1,0,0,25,0.36,0.36,0.28,-0.07999999999999996,0.64,0.6624,1.0920192874506351,0.36
-1,1,1,0,0,26,0.11538461538461539,0.5,0.38461538461538464,0.2692307692307693,0.5,0.5887573964497042,0.9632492517543758,0.5
0,1,1,0,0,29,0.2413793103448276,0.4482758620689655,0.3103448275862069,0.06896551724137931,0.5517241379310345,0.6444708680142687,1.065891213213607,0.4482758620689655
1,1,1,0,0,21,0.23809523809523808,0.38095238095238093,0.38095238095238093,0.14285714285714285,0.6190476190476191,0.6530612244897959,1.0769865220544765,0.38095238095238093
-1,-1,-1,1,0,21,0.2857142857142857,0.5238095238095238,0.19047619047619047,-0.09523809523809523,0.47619047619047616,0.6077097505668935,1.0124947110267577,0.5238095238095238
0,-1,-1,1,0,22,0.4090909090909091,0.4090909090909091,0.18181818181818182,-0.2272727272727273,0.5909090909090908,0.6322314049586777,1.0412597335159743,0.4090909090909091
1,-1,-1,1,0,21,0.23809523809523808,0.5714285714285714,0.19047619047619047,-0.047619047619047616,0.4285714285714286,0.5804988662131519,0.9773202089564674,0.5714285714285714
-1,0,-1,1,0,21,0.3333333333333333,0.42857142857142855,0.23809523809523808,-0.09523809523809523,0.5714285714285714,0.6485260770975056,1.071018542409915,0.42857142857142855
0,0,-1,1,0,43,0.3023255813953488,0.5116279069767442,0.18604651162790697,-0.11627906976744184,0.4883720930232558,0.6122228231476474,1.017413884197711,0.5116279069767442
1,0,-1,1,0,25,0.28,0.36,0.36,0.07999999999999996,0.64,0.6624,1.0920192874506351,0.36
-1,1,-1,1,0,19,0.3157894736842105,0.42105263157894735,0.2631578947368421,-0.05263157894736842,0.5789473684210527,0.6537396121883656,1.0795295733255186,0.42105263157894735
0,1,-1,1,0,20,0.25,0.5,0.25,0.0,0.5,0.625,1.0397207708399179,0.5
1,1,-1,1,0,26,0.34615384615384615,0.38461538461538464,0.2692307692307692,-0.07692307692307693,0.6153846153846154,0.6597633136094674,1.0880102622771117,0.38461538461538464
-1,-1,0,1,0,18,0.5,0.3333333333333333,0.16666666666666666,-0.33333333333333337,0.5,0.6111111111111112,1.0114042647073516,0.5
0,-1,0,1,0,30,0.3,0.36666666666666664,0.3333333333333333,0.033333333333333326,0.6333333333333333,0.6644444444444444,1.0952733774372052,0.36666666666666664
1,-1,0,1,0,35,0.2,0.34285714285714286,0.45714285714285713,0.2571428571428571,0.5428571428571429,0.6334693877551021,1.0467289072985653,0.45714285714285713
-1,0,0,1,0,31,0.3225806451612903,0.41935483870967744,0.25806451612903225,-0.06451612903225806,0.5806451612903225,0.6534859521331946,1.078963820279368,0.41935483870967744
